id;title
9382b90c-9322-4021-a39f-145bfeaf2159;wisely در جلوی آهنگ
71323d85-44e6-4e4f-9be6-6c2da951a5b4;vivaciously
61d643ed-e3ae-40da-a665-2e815c7764d4;کوه فارسی elegantly
9862c309-a58c-4e1d-820b-ce0cfb4d6555;shakily
17d48bcf-663e-44d5-aeea-28502e59ccb1;madly
be388e3e-72c7-4e21-b375-c30bf90ed8ce;از مهندس
351efd5c-8de9-4e5f-b451-14f6b0c7ac7b;واو
84088141-dcf2-464b-8fad-40cbde989dd5;به طور عمده سریع
f4827db1-bb5e-4acc-839a-42e433ed0930;تمام کردن سازماندهی کردن
74beaacf-37d7-42a5-903f-f274f9fa6701;دندانپزشک فکر کردن اما
