id;from_date_time;to_date_time;is_deleted
8011e1e7-236c-4525-a475-0cc15133a354;2024-06-09T17:48:50;2024-06-10T00:46:21;true
2af899a0-c8aa-436f-adde-75e338dfdc68;2024-06-10T10:19:00;2024-06-10T11:29:33;true
ecd04038-bb18-4506-b630-b117b9604ce2;2024-06-10T08:55:58;2024-06-09T16:38:50;true
b5163657-514a-4e0f-ab7c-28624cf35747;2024-06-10T04:57:42;2024-06-10T06:37:58;false
c17680aa-ffe3-4a83-9648-9c0b877b270e;2024-06-10T06:09:26;2024-06-10T00:04:03;true
89f99190-0741-4c85-95ac-cdd2288b548c;2024-06-10T12:39:59;2024-06-10T12:30:13;false
2e3de04f-2f30-4a7b-8eac-39c091b73970;2024-06-10T14:36:53;2024-06-09T18:38:47;false
22f7c33f-fe5d-49ac-8744-8783734970bb;2024-06-09T20:37:59;2024-06-09T17:25:34;true
5435b431-59fe-4c9a-be28-dfac72d94709;2024-06-09T20:53:49;2024-06-09T20:19:34;true
57cb5e01-28eb-43f7-a872-bee891ddff03;2024-06-10T04:09:40;2024-06-09T17:47:49;true
