id;title
04a2ab33-7961-4c6c-902e-74afc13094c9;اَخ وایسا
f4b78f76-49ab-4c79-927f-9e4481caeb81;همچون
7af1a067-bfc5-4f99-b0f7-b25e64a1163f;گذاشتن ساختن درست کردن
c1585f9c-9028-42fa-9939-c9c7da007da3;پنجره واکنش نشان دادن وای
65a99939-f5ea-4bf2-8fb5-b4c2c137a178;در عین حال به هیچ وجه
5bcf7644-71d9-4505-be87-47d6578b87b5;نویسنده احساس کردن
f02178ac-64fe-4f1f-9041-ae9ce1ca0592;اوه
ce25090a-3d24-4b27-91f8-9f2dcc74c417;بنابراین به نظر faithfully
69103e10-696e-4d54-a50a-353a0c91560f;درباره عکس العمل نشان دادن پایان دادن
5b50712d-d35e-4ce0-88e2-9369d84ab3e7;بنابراین کوه
